dataset,target,model,cv_roc_auc,best_params,accuracy,precision,recall,f1,roc_auc,cv_macro_f1,macro_f1,weighted_f1
propagation,anomaly_flag,transformer,1.0,"{'batch': 64, 'dropout': 0.1, 'epochs': 8, 'hidden': 32, 'layers': 1, 'lr': 0.001}",1.0,1.0,1.0,1.0,1.0,,,
noisy,anomaly_flag,lightgbm,0.9956554967544499,"{'learning_rate': 0.08, 'n_estimators': 150, 'num_leaves': 31}",0.9925,0.9787234042553191,0.92,0.9484536082474226,0.9946198198198198,,,
noisy,anomaly_flag,lstm,0.9947503527893672,"{'batch': 64, 'dropout': 0.1, 'epochs': 8, 'hidden': 64, 'layers': 1, 'lr': 0.001}",0.992,0.9407894736842105,0.9533333333333334,0.9470198675496688,0.9815027027027027,,,
noisy,anomaly_flag,transformer,0.997396542422604,"{'batch': 64, 'dropout': 0.1, 'epochs': 8, 'hidden': 32, 'layers': 2, 'lr': 0.001}",0.9965,0.993103448275862,0.96,0.976271186440678,0.9929513513513514,,,
base,root_cause_station,lightgbm,,"{'learning_rate': 0.03, 'n_estimators': 150, 'num_leaves': 15}",0.998,,,,,1.0,0.985916912772225,0.9979236108259065
base,root_cause_station,lstm,,"{'batch': 64, 'dropout': 0.1, 'epochs': 10, 'hidden': 64, 'layers': 2, 'lr': 0.001}",1.0,,,,,0.9041664920122531,1.0,1.0
base,root_cause_station,transformer,,"{'batch': 64, 'dropout': 0.1, 'epochs': 10, 'hidden': 64, 'layers': 1, 'lr': 0.001}",0.997,,,,,1.0,0.9750611570247933,0.996593309090909
sparse,root_cause_station,lightgbm,,"{'learning_rate': 0.03, 'n_estimators': 300, 'num_leaves': 31}",0.9875,,,,,0.8191595929532266,0.7441668117713395,0.9853383378178621
sparse,root_cause_station,lstm,,"{'batch': 64, 'dropout': 0.1, 'epochs': 10, 'hidden': 64, 'layers': 2, 'lr': 0.001}",0.992,,,,,0.8027057337882169,0.8267352051491684,0.9911968968583468
sparse,root_cause_station,transformer,,"{'batch': 64, 'dropout': 0.1, 'epochs': 10, 'hidden': 64, 'layers': 2, 'lr': 0.001}",0.986,,,,,0.7587188665634699,0.7912027178818224,0.9853481377299473
drift,root_cause_station,lightgbm,,"{'learning_rate': 0.03, 'n_estimators': 150, 'num_leaves': 15}",0.9985,,,,,1.0,0.9898261655271002,0.9984724224892448
drift,root_cause_station,lstm,,"{'batch': 64, 'dropout': 0.1, 'epochs': 10, 'hidden': 64, 'layers': 2, 'lr': 0.001}",1.0,,,,,0.9335858585858586,1.0,1.0
drift,root_cause_station,transformer,,"{'batch': 64, 'dropout': 0.1, 'epochs': 10, 'hidden': 32, 'layers': 2, 'lr': 0.001}",0.9975,,,,,1.0,0.9801159096971314,0.997229927980795
propagation,root_cause_station,lightgbm,,"{'learning_rate': 0.03, 'n_estimators': 300, 'num_leaves': 15}",1.0,,,,,1.0,1.0,1.0
propagation,root_cause_station,lstm,,"{'batch': 64, 'dropout': 0.1, 'epochs': 10, 'hidden': 64, 'layers': 2, 'lr': 0.001}",0.9995,,,,,0.9223857441366037,0.993915119148764,0.9994834000890076
propagation,root_cause_station,transformer,,"{'batch': 64, 'dropout': 0.1, 'epochs': 10, 'hidden': 64, 'layers': 2, 'lr': 0.001}",1.0,,,,,1.0,1.0,1.0
noisy,root_cause_station,lightgbm,,"{'learning_rate': 0.03, 'n_estimators': 300, 'num_leaves': 31}",0.9915,,,,,0.8364435628189758,0.8112986757971807,0.9903183322728801
noisy,root_cause_station,lstm,,"{'batch': 64, 'dropout': 0.1, 'epochs': 10, 'hidden': 64, 'layers': 2, 'lr': 0.001}",0.9955,,,,,0.87211164398328,0.9421779879329525,0.9954310269277886
noisy,root_cause_station,transformer,,"{'batch': 64, 'dropout': 0.1, 'epochs': 10, 'hidden': 64, 'layers': 2, 'lr': 0.001}",0.993,,,,,0.8855006256253257,0.9126772553182936,0.992622649120925
